TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
STALKER2	0.903545359749739	12.86	10.913	10.742	10.686	8.972	13.364	16.501	12.148	12.933	11.818	10.835	13.353	2.518	0.301	1	2298.88	0	8	389.74	0	76710	TRUE	FBte0000472	NA	Stalker2	Dmel	Stalker2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Nonautonomous;pol|internal_portion|STALKER2_I|STALKER2_LTR;Nonautonomous_endogenous_retrovirus.	LTR	RNA	7672	FALSE	FALSE
STALKER3	1	22.371	19.36	22.385	17.644	15.675	22.702	21.723	23.853	18.885	16.307	19.487	20.694	1.207	0.087	1	36.31	1.84447402364623e-09	8	89.99	1.84447402364623e-09	3710	TRUE	FBte0001157	NA	Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372	FALSE	FALSE
TABOR	0.879237576582709	13.117	9.209	10.138	18.109	14.255	17.473	18.749	18.379	19.501	19.615	12.966	18.744	5.778	0.532	1	8288.4	0	8	661.96	0	73440	TRUE	FBte0000974	AC007146	Tabor	Dmel	Tabor	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|TABOR_group|TABOR_I;TABOR_LTR|env|gag|pol|internal_portion.	LTR	RNA	7345	FALSE	FALSE
TAHRE	0.999904425117079	11.566	6.094	8.474	14.206	11.404	9.372	11.506	12.563	14.795	6.93	10.349	11.033	0.684	0.092	1	177.3	2.03506684654791e-40	8	1428.51	2.03506684654791e-40	104620	TRUE	FBte0000148	AJ542581	TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463	FALSE	FALSE
TC1	1	13.089	15.219	14.115	13.485	14.586	22.584	20.581	20.756	21.381	21.808	14.099	21.422	7.323	0.604	1	8224.95	0	8	42.48	0	16650	TRUE	FBte0000927	nnnnnnnn	Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666	TRUE	FALSE
TC1-2	1	11.061	13.079	13.057	10.847	11.817	19.155	17.592	18.384	18.678	17.86	11.972	18.334	6.362	0.615	1	7164.7	0	8	53.92	0	16430	TRUE	FBte0000838	nnnnnnnn	Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644	TRUE	FALSE
TC3	0.997705106138841	3.22	3.324	3.551	2.416	2.787	4.497	4.228	4.392	4.331	4.162	3.06	4.322	1.262	0.498	1	871.54	5.91063447022964e-187	8	24.48	5.91063447022964e-187	17420	TRUE	FBte0000044	AC009537	Tc3	Dmel	Tc3	terminal_inverted_repeat_element	DNA	NA	Tc1-Mariner	Tc3	NA	NA	0	NA	NA	TIR	DNA	1743	TRUE	FALSE
Tinker	0.946825916230366	8.711	11.898	8.767	7.62	8.028	14.641	12.039	11.491	14.819	12.35	9.005	13.068	4.064	0.537	1	13836.24	0	8	879.09	0	61110	TRUE	FBte0000001	AC004377	diver	Dmel	diver	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.752	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|ORF1|gag;Retrovirus|endonuclease|internal_portion|RT|DIVER_I;DIVER_LTR.	LTR	RNA	6112	FALSE	FALSE
TIRANT	0.871100164203612	8.025	5.881	11.645	10.464	9.609	10.633	8.214	7.506	10.714	10.342	9.125	9.482	0.357	0.055	1	57.41	3.56959631368179e-14	8	658.24	3.56959631368179e-14	85250	TRUE	FBte0000179	X93507	Tirant	Dmel	Tirant	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.974	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|TIRANT_I|TIRANT_LTR;env|gag|pol|internal_portion.	LTR	RNA	8526	FALSE	FALSE
TRANSIB1	0.976465159206276	3.064	4.169	3.792	2.986	3.14	5.895	5.266	5.393	5.446	5.32	3.43	5.464	2.034	0.672	1	4361.01	0	8	70.8	0	21660	TRUE	FBte0000626	nnnnnnnn	transib1	Dmel	transib1	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	99.575	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;transposase|TRANSIB3|TRANSIB1.	TIR	DNA	2167	TRUE	FALSE
TRANSIB2	1	12.136	15.473	13.72	11.116	12.387	20.305	18.514	18.755	20.311	19.424	12.966	19.462	6.495	0.586	1	6041.59	0	8	101.2	0	28430	TRUE	FBte0000885	nnnnnnnn	transib2	Dmel	transib2	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB2|TRANSIB2p_transposase.	TIR	DNA	2844	TRUE	FALSE
TRANSIB4	0.967620481927711	2.282	2.738	2.668	2.234	2.5	3.727	3.328	3.406	3.378	3.283	2.484	3.424	0.94	0.463	1	1650.29	0	8	30.35	0	26550	TRUE	FBte0001174	nnnnnnnn	transib4	Dmel	transib4	terminal_inverted_repeat_element	DNA	Jockey	?	Transib	Drosophila_melanogaster	99.115	1	NA	Transib|DNA_transposon|Transposable_Element|DDE-class;TRANSIB_family|TRANSIB4p_transposase|TRANSIB4.	TIR	DNA	2656	TRUE	FALSE
